,,,A,B,C,D,,,,,
#,Section Number,"Weight
Per/Foot","Depth of
Section","Flange
Width","Flange
Thickness","Web
Thickness",Length,Total Pounds,Current Cost per Foot,Total Price,NOTES:
,,lb.,in.,in.,in.,in.,ft.,lb.,$,$,
268,,297,39.84,15.825,1.650,0.930,,0,$1.90,$0.00,
269,,324,40.16,15.905,1.810,1.000,,0,$1.90,$0.00,
270,,362,40.55,16.020,2.010,1.120,,0,$1.90,$0.00,
271,,372,40.63,16.060,2.050,1.160,,0,$1.90,$0.00,
272,,397,40.95,16.120,2.200,1.220,,0,$1.90,$0.00,
273,,431,41.26,16.220,2.363,1.339,,0,$1.90,$0.00,
274,,503,42.05,16.417,2.756,1.535,,0,$1.90,$0.00,
275,,593,42.99,16.693,3.228,1.791,,0,$1.90,$0.00,
,,,,,,,,0,$1.90,$0.00,
276,W44,230,42.91,15.750,1.220,0.710,,0,$1.90,$0.00,
277,,262,43.31,15.750,1.420,0.790,,0,$1.90,$0.00,
278,,290,43.62,15.830,1.580,0.870,,0,$1.90,$0.00,
279,,335,44.02,15.950,1.770,1.020,,0,$1.90,$0.00,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Grand Total $,Tab Link to Grand Totals
,,,,,,Totals,0,0,,$0.00,
