#,Item #,Angle Type,Size A,Size B,Size C,Available Length(s),,,Estimated Lbs. Per Ft.,For 20ft Length,For 40ft Length,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Type,Size A,Size B,Size C,Available Lengths,As Fraction,As Decimal,Estimated Pounds Per Foot,For 20ft Length,For 40ft Length,ft.,lb.,$,$,
134,LS861,Structural Size Standard,8 in,6 in,1 in,Up to 60 ft,1,1.0000,44.2,884,1768,,0.00,$1.25,$0.00,
135,LS812,Structural Size Standard,8 in,8 in,1/2 in,Up to 60 ft,1/2,0.5000,26.4,528,1056,,0.00,$1.25,$0.00,
136,LS8916,Structural Size Standard,8 in,8 in,9/16 in,Up to 60 ft,  9/16,0.5625,,,,,0.00,$1.25,$0.00,
137,LS858,Structural Size Standard,8 in,8 in,5/8 in,Up to 60 ft,5/8,0.6250,32.7,654,1308,,0.00,$1.25,$0.00,
138,LS834,Structural Size Standard,8 in,8 in,3/4 in,Up to 60 ft,3/4,0.7500,38.9,778,1556,,0.00,$1.25,$0.00,
139,LS8878,Structural Size Standard,8 in,8 in,7/8 in,Up to 60 ft,7/8,0.8750,45,900,1800,,0.00,$1.25,$0.00,
140,LS81,Structural Size Standard,8 in,8 in,1 in,Up to 60 ft,1,1.0000,51,1020,2040,,0.00,$1.25,$0.00,
141,LS8118,Structural Size Standard,8 in,8 in,1 1/8 in,Up to 60 ft,1 1/8,1.1250,56.9,1138,2276,,0.00,$1.25,$0.00,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Grand Total $,Tab Link to Grand Totals
,,,,,,,,,,,Totals,0,0.000,,$0.00,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
???,LS1034,Structural Size Standard,10 in,10 in,3/4 in,20 ft40 ft,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
