#,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,
,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Foot,ft.,lb.,$,$,,
241,PP114590,N/A,N/A,12.750 in,N/A,114.590,,0.000,,$0.00,,
242,PP36747,N/A,N/A,14.000 in,N/A,36.747,,0.000,,$0.00,,
243,PP45753,N/A,N/A,14.000 in,N/A,45.753,,0.000,,$0.00,,
244,PP54619,N/A,N/A,14.000 in,N/A,54.619,,0.000,,$0.00,,
245,PP72158,N/A,N/A,14.000 in,N/A,72.158,,0.000,,$0.00,,
246,PP89362,N/A,N/A,14.000 in,N/A,89.362,,0.000,,$0.00,,
247,PP106230,N/A,N/A,14.000 in,N/A,106.230,,0.000,,$0.00,,
248,PP122770,N/A,N/A,14.000 in,N/A,122.770,,0.000,,$0.00,,
249,PP138970,N/A,N/A,14.000 in,N/A,138.970,,0.000,,$0.00,,
250,PP42092,N/A,N/A,16.000 in,N/A,42.092,,0.000,,$0.00,,
251,PP52439,N/A,N/A,16.000 in,N/A,52.439,,0.000,,$0.00,,
252,PP62637,N/A,N/A,16.000 in,N/A,62.637,,0.000,,$0.00,,
253,PP82848,N/A,N/A,16.000 in,N/A,82.848,,0.000,,$0.00,,
254,PP102724,N/A,N/A,16.000 in,N/A,102.724,,0.000,,$0.00,,
255,PP122270,N/A,N/A,16.000 in,N/A,122.270,,0.000,,$0.00,,
256,PP141480,N/A,N/A,16.000 in,N/A,141.480,,0.000,,$0.00,,
257,PP160350,N/A,N/A,16.000 in,N/A,160.350,,0.000,,$0.00,,
258,PP47437,N/A,N/A,18.000 in,N/A,47.437,,0.000,,$0.00,,
259,PP59188,N/A,N/A,18.000 in,N/A,59.188,,0.000,,$0.00,,
260,PP70654,N/A,N/A,18.000 in,N/A,70.654,,0.000,,$0.00,,
261,PP93538,N/A,N/A,18.000 in,N/A,93.538,,0.000,,$0.00,,
262,PP116087,N/A,N/A,18.000 in,N/A,116.087,,0.000,,$0.00,,
263,PP138300,N/A,N/A,18.000 in,N/A,138.300,,0.000,,$0.00,,
264,PP160180,N/A,N/A,18.000 in,N/A,160.180,,0.000,,$0.00,,
265,PP181730,N/A,N/A,18.000 in,N/A,181.730,,0.000,,$0.00,,
266,PP52782,N/A,N/A,20.000 in,N/A,52.782,,0.000,,$0.00,,
267,PP65810,N/A,N/A,20.000 in,N/A,65.810,,0.000,,$0.00,,
268,PP78672,N/A,N/A,20.000 in,N/A,78.672,,0.000,,$0.00,,
269,PP104228,N/A,N/A,20.000 in,N/A,104.228,,0.000,,$0.00,,
270,PP129449,N/A,N/A,20.000 in,N/A,129.449,,0.000,,$0.00,,
271,PP154340,N/A,N/A,20.000 in,N/A,154.340,,0.000,,$0.00,,
272,PP178890,N/A,N/A,20.000 in,N/A,178.890,,0.000,,$0.00,,
273,PP203110,N/A,N/A,20.000 in,N/A,203.110,,0.000,,$0.00,,
274,PP79010,N/A,N/A,24.000 in,N/A,79.010,,0.000,,$0.00,,
275,PP94710,N/A,N/A,24.000 in,N/A,94.710,,0.000,,$0.00,,
276,PP125610,N/A,N/A,24.000 in,N/A,125.610,,0.000,,$0.00,,
277,PP156170,N/A,N/A,24.000 in,N/A,156.170,,0.000,,$0.00,,
278,PP186410,N/A,N/A,24.000 in,N/A,186.410,,0.000,,$0.00,,
279,PP216310,N/A,N/A,24.000 in,N/A,216.310,,0.000,,$0.00,,
280,PP245870,N/A,N/A,24.000 in,N/A,245.870,,0.000,,$0.00,,
281,PP110740,N/A,N/A,28.00 in,N/A,110.740,,0.000,,$0.00,,
282,PP146990,N/A,N/A,28.00 in,N/A,146.990,,0.000,,$0.00,,
283,PP182900,N/A,N/A,28.00 in,N/A,182.900,,0.000,,$0.00,,
284,PP218480,N/A,N/A,28.00 in,N/A,218.480,,0.000,,$0.00,,
285,PP253720,N/A,N/A,28.00 in,N/A,253.720,,0.000,,$0.00,,
286,PP288630,N/A,N/A,28.00 in,N/A,288.630,,0.000,,$0.00,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Grand Total $,Tab Link to Grand Totals,
,,,,,,Totals,0,0.000,,$0.00,,
